제목,이미지링크,썸네일링크,넓이,폭
"일산미용학원 MBC아카데미뷰티학원, ‘2025 뷰티디자인아트페어 작품공모전’ 전원 수상 쾌거",http://imgnews.naver.net/image/5133/2025/04/01/0000734736_001_20250401172608832.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5133/2025/04/01/0000734736_001_20250401172608832.jpg,426,300
"[한국교육산업대상] MBC아카데미뷰티스쿨, 토탈미용학원",http://imgnews.naver.net/image/038/2008/06/05/cocochoi200806041955440.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/038/2008/06/05/cocochoi200806041955440.jpg,287,250
"MBC아카데미연극음악원, 설립 20주년 기념 '장학생 선발 오디션' 개최",http://imgnews.naver.net/image/5136/2017/11/17/0000214368_001_20171117123014200.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5136/2017/11/17/0000214368_001_20171117123014200.jpg,414,300
[(주)뷰티르샤 영등포지점(엠비씨아카데미 뷰티미용학원)] MBC아카데미뷰티학원 영등포점 왁싱 강사 구인 - 사람인,https://pds.saramin.co.kr/company/logo/202407/08/sga9d4_um9b-1crqh8l_logo.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://pds.saramin.co.kr/company/logo/202407/08/sga9d4_um9b-1crqh8l_logo.jpg,240,251
[강남방송연극음악원] 디자인작업/홍보마켓팅 외 1개 부문 담당자 채용 - 사람인 [강남방송연극음악원] 디자인작업/홍보마켓팅  외 1개 부문... ,https://pds.saramin.co.kr/company/logo/201902/27/pnk559_o245-0_logo.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://pds.saramin.co.kr/company/logo/201902/27/pnk559_o245-0_logo.jpg,300,300
"MBC아카데미뷰티미용학원 시흥지점, 미용대학 입시 맞춤 컨설팅 제공",http://imgnews.naver.net/image/5133/2025/03/14/0000733069_001_20250314153814622.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5133/2025/03/14/0000733069_001_20250314153814622.jpg,257,300
[mbc아카데미뷰티스쿨미용학원] 메이크업 강사 채용합니다. - 사람인,https://pds.saramin.co.kr/company/logo/202401/10/s71a2h_eekc-w0f63h_logo.png,https://search.pstatic.net/sunny/?type=b150&src=https://pds.saramin.co.kr/company/logo/202401/10/s71a2h_eekc-w0f63h_logo.png,300,305
"MBC아카데미뷰티스쿨, 뷰티 유튜버 육성 나선다…‘언니의 파우치’와 콜라보",http://imgnews.naver.net/image/417/2017/12/13/0000283323_001_20171213100715838.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/417/2017/12/13/0000283323_001_20171213100715838.jpg,265,520
"MBC아카데미원격평생교육원, 사회복지사2급 11개월 취득반 선착순 모집",http://imgnews.naver.net/image/5003/2024/11/05/20241105165150_2098102_700_340_20241105165414799.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5003/2024/11/05/20241105165150_2098102_700_340_20241105165414799.jpg,262,540
[MBC아카데미뷰티학원 서면점] MBC아카데미뷰티학원 서면점 헤어강사 - 사람인,https://pds.saramin.co.kr/company/logo/202403/05/s9uzgs_enqv-1mnrqfx_logo.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://pds.saramin.co.kr/company/logo/202403/05/s9uzgs_enqv-1mnrqfx_logo.jpg,300,300
"MBC아카데미뷰티학원 강남본원, 입시반 개강..‘차별화된 입시전략 제공’",http://imgnews.naver.net/image/5449/2021/04/01/0000052065_001_20210401161841446.png,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5449/2021/04/01/0000052065_001_20210401161841446.png,375,322
"MBC아카데미입시미용학원 안산지점, 안소은 교수 초빙… 서경대 헤어디자인학과 입시반 개강",http://imgnews.naver.net/image/5133/2024/10/23/0000712086_001_20241023161414420.jpg,https://search.pstatic.net/common/?type=b150&src=http://imgnews.naver.net/image/5133/2024/10/23/0000712086_001_20241023161414420.jpg,413,300
(평생교육경영학) 롯데백화점 MBC아카데미 문화센터 기관소개... 롯데백화점 MBC아카데미 문화센터 기관소개  기관인터뷰  SWOT분석,https://www.reportshop.co.kr/social/447699/(%ED%8F%89%EC%83%9D%EA%B5%90%EC%9C%A1%EA%B2%BD%EC%98%81%ED%95%99)%20%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90%20MBC%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%20%EB%AC%B8%ED%99%94%EC%84%BC%ED%84%B0%20%EA%B8%B0%EA%B4%80%EC%86%8C%EA%B0%9C%20%20%EA%B8%B0%EA%B4%80%EC%9D%B8%ED%84%B0%EB%B7%B0%20%20SWOT%EB%B6%84%EC%84%9D.gif,https://search.pstatic.net/sunny/?type=b150&src=https://www.reportshop.co.kr/social/447699/(%ED%8F%89%EC%83%9D%EA%B5%90%EC%9C%A1%EA%B2%BD%EC%98%81%ED%95%99)%20%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90%20MBC%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%20%EB%AC%B8%ED%99%94%EC%84%BC%ED%84%B0%20%EA%B8%B0%EA%B4%80%EC%86%8C%EA%B0%9C%20%20%EA%B8%B0%EA%B4%80%EC%9D%B8%ED%84%B0%EB%B7%B0%20%20SWOT%EB%B6%84%EC%84%9D.gif,410,300
MBC아카데미뷰티스쿨 의정부캠퍼스,https://ldb-phinf.pstatic.net/20220512_128/1652343635376oXM77_PNG/KakaoTalk_20220512_142456477_09.png,https://search.pstatic.net/common/?type=b150&src=https://ldb-phinf.pstatic.net/20220512_128/1652343635376oXM77_PNG/KakaoTalk_20220512_142456477_09.png,240,361
