순위,책이름,저자 및 출판,가격
1,청춘의 독서,유시민 저 | 웅진지식하우스,17010
2,엄마의 말 연습,윤지영 저 | 카시오페아,15750
3,단 한 번의 삶,김영하 저 | 복복서가,15120
4,어른의 품격을 채우는 100일 필사 노트,김종원 저 | 청림Life,18000
5,이로운 보수 의로운 진보,"최강욱, 최강혁 저 | 한겨레출판",18000
6,소년이 온다,한강 저 | 창비,13500
7,초역 부처의 말,코이케 류노스케 저/박재현 역 | 포레스트북스,16020
8,어른의 행복은 조용하다,태수 저 | 페이지2북스,16020
9,모순,양귀자 저 | 쓰다,11700
10,듀얼 브레인,이선 몰릭 저/신동숙 역 | 상상스퀘어,18900
11,쇼펜하우어 인생수업 : 한 번뿐인 삶 이렇게 살아라 (리커버 에디션),쇼펜하우어 저 / 김지민 편 | 하이스트,15750
12,빛과 실,한강 저 | 문학과지성사,13500
13,에그박사 15,에그박사 원저/박송이 글/홍종현 그림/주세종 감수 | 미래엔아이세움,14220
14,혼모노,성해나 저 | 창비,16200
15,위버멘쉬,프리드리히 니체 저 | 떠오름,16020
16,친구 사이에도 예의가 필요해,"한진아, 지니 킴 글/박혜림 그림 | 길벗스쿨",15300
17,급류,정대건 저 | 민음사,12600
18,괴수 8호 15 트리플특장판,마츠모토 나오야 글그림/유유리 역 | 서울미디어코믹스(서울문화사),5400
19,"첫 여름, 완주",김금희 저 | 무제,15300
20,친구가 상처 줄 때 똑똑하게 나를 지키는 법,이현아 글/서영 그림 | 한빛에듀,15120
21,결국 국민이 합니다,이재명 저 | 오마이북,19800
22,워런 버핏 웨이,로버트 해그스트롬 저/신용우 역 | 상상스퀘어,29700
23,서랍에 저녁을 넣어 두었다,한강 저 | 문학과지성사,10800
24,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저 | 이투스북,14850
25,설민석의 한국사 대모험 33,"설민석, 남이담 글/정현희 그림/강석화 감수 | 단꿈아이",12600
26,흔한남매 19,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수 | 미래엔아이세움,14220
27,2025 심우철 실전 동형 모의고사 Season 4,심우철 저 | 심슨북스,12960
28,최애의 아이 16 특별판,아카사카 아카 글/요코야리 멘고 그림 | 대원,35100
29,넥서스,유발 하라리 저/김명주 역 | 김영사,25020
30,돈의 흐름은 되풀이된다,홍춘욱 저 | 포르체,17100
31,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저 | YBM(와이비엠),17820
32,스토너,존 윌리엄스 저/김승욱 역 | 알에이치코리아(RHK),15120
33,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저 | 이투스북,14400
34,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저 | YBM(와이비엠),17820
35,최애의 아이 16,아카사카 아카 글/요코야리 멘고 그림 | 대원,7110
36,"엔비디아 젠슨 황, 생각하는 기계",스티븐 위트 저/백우진 역 | 알에이치코리아(RHK),25200
37,진짜의 마인드,김찬희(김진짜) 저 | 터닝페이지,16650
38,"혹시, 돈 얘기해도 될까요?",주언규 저 | 필름,17820
39,너에게 들려주는 단단한 말,김종원 저 | 퍼스트펭귄,16200
40,질문의 격,유선경 저 | 앤의서재,16020
41,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저 | 위즈덤하우스,21420
42,길고양이와 늑대 5 더블특전판,미츠바치 미유키 글그림 | 학산문화사,5400
43,과자 사면 과학 드립니다,정윤선 글/시미씨 그림 | 풀빛,13500
44,부의 전략 수업,폴 포돌스키 저/고영훈 역 | 필름,17820
45,살아갈 날들을 위한 괴테의 시,김종원 저 | 퍼스트펭귄,17100
46,2025 문동균 한국사 지방직 대비 실전 봉투모의고사,문동균 편저 | 에스티유니타스,10800
47,똑게육아,로리(김준희) 저 | 북로스트,19980
48,파과 (리커버),구병모 저 | 위즈덤하우스,14220
49,얼굴만으론 좋아할 수 없어요 13,안자이 카린 글그림/이소연 역 | 서울미디어코믹스(서울문화사),5400
50,쓰는 사람의 문장 필사,고수리 저 | 유유히,19800
51,행복한 철학자,우애령 저/펀자이씨(엄유진) 그림 | 하늘재,17100
52,채식주의자,한강 저 | 창비,15300
53,그녀를 지키다,장바티스트 앙드레아 저/정혜용 역 | 열린책들,19800
54,내가 나라서 정말 좋아,김지훤 글/하꼬방 그림 | 길벗,15120
55,2025 써니 행정법총론 봉투모의고사 (4회),박준철 편저 | 제이씨에듀,7200
56,실패를 성공으로 바꾸는 주식투자의 기술,정재호 저 | 프런트페이지,18900
57,작별하지 않는다,한강 저 | 문학동네,15120
58,봄의 폭풍과 몬스터 6,미츠바치 미유키 글그림 | 학산문화사,5400
59,해커스 토익 기출 VOCA (보카),David Cho 저 | 해커스어학연구소,11610
60,우리의 낙원에서 만나자,하태완 저 | 북로망스,17550
61,설민석의 삼국지 대모험 22,단꿈아이 글/스튜디오 담 그림/남이담 편 | 단꿈아이,12600
62,슈뻘맨의 숨은 과학 찾기 6,"슈뻘맨 원저/서후 글/류수형 그림/샌드박스 네트워크, 정재형 감수 | 미래엔아이세움",13500
63,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기 저/임상훈 역 | 현대지성,10350
64,카구라바치 5 더블특전판,호카조노 타케루 글그림 | 대원,5850
65,오닉스 스톰 1,레베카 야로스 저/이수현 역 | 북폴리오,17100
66,루리 드래곤 3,신도 마사오키 글그림/이루다 역 | 서울미디어코믹스(서울문화사),5400
67,이기적 유전자 The Selfish Gene,"리처드 도킨스 저/홍영남, 이상임 역 | 을유문화사",18000
68,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디 저/최은아 역 | 상상스퀘어,19800
69,바꿔 봐 바꿔 봐 뾰족뾰족 미운 말,사이토 다카시 글/가와하라 미즈마루 그림/권남희 역 | 주니어RHK,14850
70,살롱 드 경성 2,김인혜 저 | 해냄,18900
71,2025 선재국어 최우선 실전 봉투 모의고사,이선재 편저 | 수비니겨,16200
72,김재우의 기초 영어회화 100,김재우 저 | 상상스퀘어,17010
73,니체 인생수업 : 니체가 세상에 남긴 66가지 인생지혜 (리커버 에디션),프리드리히 니체 저 / 김지민 역 | 하이스트,15750
74,긴긴밤,루리 글그림 | 문학동네,11250
75,아이의 어휘력을 위한 66일 필사 노트,김종원 글 | 데이스타,16650
76,2025 제16회 젊은작가상 수상작품집,"백온유, 강보라, 서장원, 성해나, 성혜령 저 외 2명
                                        
정보 더 보기/감추기



백온유
강보라
서장원
성해나
성혜령
이희주
현호정 | 백온유
강보라
서장원
성해나
성혜령
이희주
현호정",6930
77,수능을 좌우하는 중학 국어 공부법,김민정 저 | 문학동네,18900
78,중등 필독 신문,"이현옥, 이현주 저 | 노르웨이숲",16020
79,마음의 기술,"안-엘렌 클레르, 뱅상 트리부 저/구영옥 역 | 체인지업",18900
80,동공이 약사의 알찬 약국,동공이 약사 저 | 상상스퀘어,18000
