no,title,link
30, 아이브 가을 ‘청바지핏 뽐내는 시구’ [MK포토] ,http://v.daum.net/v/20250527184503588
31," '윤남기♥' 이다은, 다이어트 21kg 감량 효과 있네···완벽한 청바지 자태 ",http://v.daum.net/v/20250427195408997
32," 손담비, 출산 25일 만에 외출…붓기 없이 청바지 ‘완벽핏’ [MD★스타] ",http://v.daum.net/v/20250506155104793
33," 하이키 옐, ‘톡식’ 커버 영상 화제…흰 티+청바지로도 ‘핫해’ ",http://v.daum.net/v/20250430145626938
34," 효민, 신행 다녀와서 ♥S대 금융맨家 찾았나? 흰티+청바지 청순룩 컴백 ",http://v.daum.net/v/20250430135410662
35, 청바지에 운동화 차림의 이재명 후보 ,http://v.daum.net/v/20250504174727603
36, “추앙받을만” 김지원…니트·청바지로 ‘출국장 술렁’ ,http://v.daum.net/v/20250519072916151
37," 레드벨벳 아이린, 아담한 키에도 완벽 청바지핏‥여전한 청순美 ",http://v.daum.net/v/20250508143509849
38," 결혼 앞둔 서동주, 흰 티+청바지로 볼륨 몸매 자랑 [DA★] ",http://v.daum.net/v/20250426094238780
39," 결혼 앞둔 서동주, 청바지만 입어도 놀라운 볼륨 몸매 [N샷] ",http://v.daum.net/v/20250501091858958
40," '6월 결혼' 서동주, 흰 티에 청바지로도 눈에 띄는 '몸매 천재' ",http://v.daum.net/v/20250427233923159
41," 김지원 '셔츠에 청바지, 드레스도 아닌데 이렇게 우아해' ",http://v.daum.net/v/20250526183900812
42, 청바지 입고 험지 집중공략…이재명 “내가 뭘 잘못했나” ,http://v.daum.net/v/20250505005118075
43, 청바지 한 벌에 담긴 ‘의류 노동자들의 꿈’ ,http://v.daum.net/v/20250428210858958
44," ‘나는 반딧불’ 황가람, ‘청바지 콘서트’ 초고속 전석 매진 ",http://v.daum.net/v/20250412164209352
45," “청바지로 바닥 청소?” 제니→기은세, 땅에 끌리는 청바지가 올 봄 대세 [스타와치] ",http://v.daum.net/v/20250323141858594
46," ‘이병헌♥’ 이민정, 둘째 출산 후 깨달은 핸드크림의 소중함…쇼핑은 여전히 ‘즉흥 스타일’('이민정MJ') ",http://v.daum.net/v/20250528083601842
47, 주말 나들이 룩 고민을 단번에 끝내줄 청바지 한 장 ,http://v.daum.net/v/20250411121526610
48, [T포토] 아이들 슈화 '특이한 청바지' ,http://v.daum.net/v/20250519165630503
49," 서동주, 결혼 앞두고 미모 폭발 ‘흰티+청바지는 진리’ [★SNS] ",http://v.daum.net/v/20250427141331451
